Player,BBE,GB%,AIR%,FB%,LD%,PU%,Pull%,Straight%,Oppo%,PullGB%,StraightGB%,OppoGB%,PullAIR%,StraightAIR%,OppoAIR%,Team,AB_LHP,H_LHP,2B_LHP,3B_LHP,HR_LHP,BB_LHP,SO_LHP,AVG_LHP,OBP_LHP,SLG_LHP,PA_LHP,HBP_LHP,SAC_LHP,SF_LHP,AB_RHP,H_RHP,2B_RHP,3B_RHP,HR_RHP,BB_RHP,SO_RHP,AVG_RHP,OBP_RHP,SLG_RHP,PA_RHP,HBP_RHP,SAC_RHP,SF_RHP
Chandler Simpson,376,0.604,0.396,0.088,0.277,0.032,0.261,0.455,0.285,0.199,0.274,0.13,0.061,0.181,0.154,TB,107,32,0,0,0,5,9,0.299,0.33,0.299,113,0,0,0,307,90,15,3,0,15,34,0.293,0.324,0.362,328,0,3,2
Jacob Young,269,0.565,0.435,0.149,0.242,0.045,0.294,0.416,0.29,0.234,0.219,0.112,0.059,0.197,0.178,WSH,89,20,4,0,0,11,19,0.225,0.317,0.27,103,1,2,0,235,55,6,1,2,16,46,0.234,0.287,0.294,261,2,7,1
Yandy Diaz,496,0.54,0.46,0.2,0.224,0.036,0.25,0.417,0.333,0.192,0.254,0.095,0.058,0.163,0.238,TB,158,45,10,0,11,19,16,0.285,0.365,0.557,181,2,0,2,425,130,19,1,14,38,76,0.306,0.366,0.454,470,4,0,3
Brandon Lockridge,103,0.583,0.417,0.194,0.204,0.019,0.214,0.417,0.369,0.155,0.282,0.146,0.058,0.136,0.223,MIL,67,14,5,1,0,4,18,0.209,0.254,0.313,44,0,1,0,67,17,2,0,0,4,18,0.254,0.297,0.284,24,0,0,2
Travis Jankowski,35,0.629,0.371,0.114,0.2,0.057,0.343,0.429,0.229,0.286,0.229,0.114,0.057,0.2,0.114,TB,7,2,0,0,0,0,2,0.286,0.286,0.286,7,0,0,0,38,9,2,0,0,3,10,0.237,0.286,0.289,1,0,1,0
Jacob Amaya,54,0.519,0.481,0.167,0.222,0.093,0.296,0.37,0.333,0.241,0.185,0.093,0.056,0.185,0.241,CWS,21,2,1,0,0,0,7,0.095,0.091,0.143,22,0,0,1,45,5,0,0,0,3,9,0.111,0.16,0.111,51,0,1,2
Jake Mangum,343,0.618,0.382,0.143,0.207,0.032,0.245,0.394,0.362,0.19,0.265,0.163,0.055,0.128,0.198,TB,129,36,5,0,1,5,17,0.279,0.309,0.341,137,1,1,1,276,84,13,1,2,14,47,0.304,0.34,0.38,291,1,0,0
Luisangel Acuna,141,0.56,0.44,0.177,0.22,0.043,0.213,0.504,0.284,0.163,0.277,0.121,0.05,0.227,0.163,NYM,58,13,3,0,0,6,16,0.224,0.308,0.276,67,1,2,0,117,28,4,0,0,7,21,0.239,0.286,0.274,126,1,0,1
Moises Ballesteros,45,0.622,0.378,0.133,0.244,0.0,0.289,0.467,0.244,0.244,0.244,0.133,0.044,0.222,0.111,CHC,2,0,0,0,0,2,2,0.0,0.5,0.0,4,0,0,0,55,17,2,1,2,7,10,0.309,0.387,0.491,62,0,0,0
DJ LeMahieu,93,0.602,0.398,0.151,0.226,0.022,0.151,0.441,0.409,0.129,0.312,0.161,0.022,0.129,0.247,NYY,44,10,0,0,0,7,14,0.227,0.333,0.227,51,0,0,0,84,24,3,0,2,7,21,0.286,0.341,0.393,91,0,0,0
