Player,BBE,GB%,AIR%,FB%,LD%,PU%,Pull%,Straight%,Oppo%,PullGB%,StraightGB%,OppoGB%,PullAIR%,StraightAIR%,OppoAIR%,Team,AB_LHP,H_LHP,2B_LHP,3B_LHP,HR_LHP,BB_LHP,SO_LHP,AVG_LHP,OBP_LHP,SLG_LHP,PA_LHP,HBP_LHP,SAC_LHP,SF_LHP,AB_RHP,H_RHP,2B_RHP,3B_RHP,HR_RHP,BB_RHP,SO_RHP,AVG_RHP,OBP_RHP,SLG_RHP,PA_RHP,HBP_RHP,SAC_RHP,SF_RHP
Nick Maton,35,0.2,0.8,0.429,0.229,0.143,0.371,0.429,0.2,0.143,0.057,0.0,0.229,0.371,0.2,CWS,0,0,0,0,0,1,0,0.0,1.0,0.0,1,0,0,0,54,9,2,0,2,8,19,0.167,0.274,0.315,62,0,0,0
Jonathan India,394,0.381,0.619,0.297,0.221,0.102,0.48,0.292,0.228,0.251,0.112,0.018,0.228,0.18,0.211,KC,95,23,3,0,2,10,23,0.242,0.336,0.337,111,4,1,1,402,93,26,0,7,44,83,0.231,0.32,0.348,456,9,0,1
Austin Wells,294,0.33,0.67,0.337,0.228,0.105,0.391,0.313,0.296,0.163,0.122,0.044,0.228,0.19,0.252,NYY,125,30,6,1,6,8,35,0.24,0.285,0.448,137,1,0,3,276,58,16,0,15,22,83,0.21,0.271,0.431,311,4,0,8
Logan O'Hoppe,286,0.402,0.598,0.297,0.234,0.066,0.462,0.304,0.234,0.234,0.119,0.049,0.227,0.185,0.185,LAA,74,19,1,0,4,5,19,0.257,0.313,0.432,80,1,0,0,349,71,7,1,15,19,120,0.203,0.246,0.358,371,1,1,1
Jonny DeLuca,44,0.455,0.545,0.25,0.227,0.068,0.477,0.409,0.114,0.25,0.182,0.023,0.227,0.227,0.091,TB,23,6,0,2,0,0,5,0.261,0.261,0.435,23,0,0,0,34,13,1,1,0,2,8,0.382,0.417,0.471,36,0,0,0
Francisco Lindor,520,0.39,0.61,0.275,0.25,0.085,0.421,0.354,0.225,0.194,0.15,0.046,0.227,0.204,0.179,NYM,200,47,5,0,7,20,30,0.235,0.317,0.365,227,5,0,2,444,125,30,0,24,45,101,0.282,0.358,0.511,505,11,0,5
Enmanuel Valdez,75,0.347,0.653,0.253,0.28,0.12,0.467,0.36,0.173,0.24,0.107,0.0,0.227,0.253,0.173,PIT,10,1,0,0,0,1,2,0.1,0.182,0.1,11,0,0,0,81,18,4,2,2,10,14,0.222,0.308,0.395,91,0,0,0
Colby Thomas,75,0.373,0.627,0.347,0.2,0.08,0.467,0.36,0.173,0.24,0.12,0.013,0.227,0.24,0.16,ATH,61,15,3,0,6,6,25,0.246,0.304,0.59,69,0,0,2,59,12,2,0,0,1,24,0.203,0.226,0.237,63,1,1,1
Jeimer Candelario,53,0.509,0.491,0.283,0.151,0.057,0.566,0.208,0.226,0.34,0.113,0.057,0.226,0.094,0.17,CIN,20,3,1,0,2,2,2,0.15,0.208,0.5,24,0,0,2,60,6,1,0,0,7,27,0.1,0.194,0.117,67,0,0,0
Elias Diaz,186,0.376,0.624,0.285,0.21,0.129,0.387,0.349,0.263,0.161,0.151,0.065,0.226,0.199,0.199,SD,80,16,0,0,3,5,19,0.2,0.247,0.313,87,0,2,0,175,36,7,0,6,16,55,0.206,0.28,0.349,196,2,3,0
Willy Adames,421,0.318,0.682,0.363,0.223,0.095,0.442,0.318,0.24,0.216,0.071,0.031,0.226,0.247,0.209,SF,159,32,4,1,10,18,54,0.201,0.278,0.428,180,0,0,3,432,101,18,1,20,62,125,0.234,0.333,0.419,506,5,0,6
Heriberto Hernandez,183,0.421,0.579,0.295,0.219,0.066,0.464,0.355,0.18,0.24,0.169,0.011,0.224,0.186,0.169,MIA,108,28,7,0,4,15,36,0.259,0.347,0.435,124,0,0,1,148,40,5,1,6,16,41,0.27,0.347,0.439,170,3,0,3
Joc Pederson,201,0.408,0.592,0.294,0.199,0.1,0.443,0.299,0.259,0.219,0.104,0.085,0.224,0.194,0.174,TEX,13,3,1,0,1,6,4,0.231,0.474,0.538,19,0,0,0,252,45,9,1,8,28,61,0.179,0.273,0.317,287,5,0,1
Enrique Hernandez,170,0.388,0.612,0.324,0.218,0.071,0.424,0.324,0.253,0.2,0.141,0.047,0.224,0.182,0.206,LAD,94,19,2,0,6,10,24,0.202,0.269,0.415,108,0,0,4,138,28,6,0,4,8,44,0.203,0.245,0.333,148,0,1,1
Michael Busch,387,0.362,0.638,0.37,0.235,0.034,0.442,0.328,0.23,0.22,0.111,0.031,0.222,0.217,0.199,CHC,87,18,2,0,4,7,26,0.207,0.274,0.368,95,1,0,0,437,119,23,5,30,49,113,0.272,0.356,0.554,497,9,0,2
Triston Casas,72,0.389,0.611,0.347,0.222,0.042,0.403,0.347,0.25,0.181,0.153,0.056,0.222,0.194,0.194,BOS,11,5,2,0,1,1,2,0.455,0.5,0.909,12,0,0,0,88,13,1,0,2,10,25,0.148,0.25,0.227,100,2,0,0
Nick Loftin,144,0.396,0.604,0.257,0.243,0.104,0.417,0.396,0.188,0.194,0.167,0.035,0.222,0.229,0.153,KC,61,12,2,0,2,5,11,0.197,0.279,0.328,68,2,0,0,107,23,7,2,2,9,16,0.215,0.277,0.374,120,1,1,2
CJ Abrams,459,0.401,0.599,0.281,0.237,0.081,0.438,0.346,0.216,0.216,0.137,0.048,0.222,0.209,0.168,WSH,186,43,6,1,4,8,53,0.231,0.28,0.339,200,5,0,1,394,106,29,4,15,29,72,0.269,0.332,0.477,435,9,1,2
Zach Cole,27,0.519,0.481,0.333,0.111,0.037,0.37,0.481,0.148,0.148,0.296,0.074,0.222,0.185,0.074,HOU,8,1,0,0,0,3,4,0.125,0.364,0.125,11,0,0,0,39,11,2,0,4,2,16,0.282,0.317,0.641,41,0,0,0
Ernie Clement,496,0.347,0.653,0.286,0.276,0.091,0.401,0.365,0.234,0.179,0.137,0.03,0.222,0.228,0.204,TOR,175,57,19,1,6,8,19,0.326,0.351,0.549,187,0,2,2,370,94,16,1,3,19,42,0.254,0.295,0.327,401,4,5,3
Matt Shaw,303,0.396,0.604,0.257,0.254,0.092,0.413,0.32,0.267,0.191,0.149,0.056,0.221,0.172,0.211,CHC,100,25,4,1,6,10,22,0.25,0.318,0.49,110,0,0,0,293,64,17,2,7,28,72,0.218,0.287,0.362,327,2,0,4
Christian Encarnacion-Strand,100,0.39,0.61,0.3,0.18,0.13,0.47,0.32,0.21,0.25,0.1,0.04,0.22,0.22,0.17,CIN,33,2,0,0,0,0,11,0.061,0.061,0.061,33,0,0,0,97,25,4,0,6,3,21,0.258,0.288,0.485,104,2,0,2
Brent Rooker,473,0.37,0.63,0.302,0.26,0.068,0.429,0.349,0.222,0.209,0.129,0.032,0.22,0.22,0.19,ATH,140,41,14,0,5,21,26,0.293,0.385,0.5,161,0,0,0,486,123,26,3,25,44,129,0.253,0.32,0.473,538,5,0,2
Randal Grichuk,214,0.383,0.617,0.271,0.234,0.112,0.444,0.332,0.224,0.224,0.117,0.042,0.22,0.215,0.182,KC,172,39,12,1,7,11,44,0.227,0.273,0.43,123,0,0,0,100,23,6,0,2,6,17,0.23,0.273,0.35,45,1,0,0
Shea Langeliers,383,0.373,0.627,0.29,0.253,0.084,0.41,0.376,0.214,0.191,0.154,0.029,0.219,0.222,0.185,ATH,120,44,6,0,10,2,26,0.367,0.374,0.667,123,0,0,1,361,89,26,0,21,34,77,0.247,0.31,0.493,400,1,0,4
Jake Rogers,87,0.425,0.575,0.241,0.218,0.115,0.494,0.264,0.241,0.276,0.115,0.034,0.218,0.149,0.207,DET,27,4,2,0,1,6,10,0.148,0.306,0.333,36,1,0,2,96,19,3,2,2,9,29,0.198,0.267,0.333,106,0,1,0
Ramon Laureano,326,0.414,0.586,0.264,0.261,0.061,0.426,0.347,0.227,0.209,0.163,0.043,0.218,0.184,0.184,SD,142,40,7,0,9,13,31,0.282,0.346,0.521,105,2,0,2,299,84,19,2,15,22,88,0.281,0.34,0.508,144,2,0,1
Christian Vazquez,157,0.376,0.624,0.268,0.255,0.102,0.382,0.395,0.223,0.166,0.153,0.057,0.217,0.242,0.166,MIN,51,6,1,0,0,8,12,0.118,0.25,0.137,60,1,0,0,139,30,6,0,3,10,23,0.216,0.279,0.324,154,3,0,2
Michael Toglia,176,0.364,0.636,0.284,0.295,0.057,0.438,0.33,0.233,0.222,0.119,0.023,0.216,0.21,0.21,COL,90,20,7,1,3,4,29,0.222,0.25,0.422,96,0,0,2,216,38,8,0,8,24,103,0.176,0.261,0.324,241,1,0,0
Max Muncy ATH,139,0.453,0.547,0.223,0.223,0.101,0.424,0.36,0.216,0.209,0.18,0.065,0.216,0.18,0.151,ATH,40,8,0,0,1,4,14,0.2,0.273,0.275,44,0,0,0,166,36,7,0,8,6,54,0.217,0.256,0.404,176,3,0,1
Yohel Pozo,139,0.388,0.612,0.18,0.252,0.18,0.41,0.295,0.295,0.194,0.129,0.065,0.216,0.165,0.23,STL,40,11,3,0,1,1,6,0.275,0.286,0.425,42,0,0,1,120,26,5,0,4,6,16,0.217,0.254,0.358,126,0,0,0
Jack Suwinski,93,0.344,0.656,0.376,0.258,0.022,0.419,0.333,0.247,0.204,0.118,0.022,0.215,0.215,0.226,PIT,7,0,0,0,0,0,2,0.0,0.0,0.0,7,0,0,0,143,22,7,0,3,24,55,0.154,0.292,0.266,171,4,0,0
Junior Caminero,484,0.467,0.533,0.258,0.19,0.085,0.444,0.366,0.19,0.229,0.186,0.052,0.215,0.18,0.138,TB,176,44,5,0,13,12,31,0.25,0.297,0.5,192,1,0,3,426,115,23,0,32,29,94,0.27,0.317,0.549,461,2,0,4
LaMonte Wade Jr.,154,0.312,0.688,0.344,0.253,0.091,0.37,0.383,0.247,0.156,0.097,0.058,0.214,0.286,0.188,LAA,24,2,0,0,0,4,6,0.083,0.214,0.083,17,0,1,0,185,33,8,2,2,23,52,0.178,0.278,0.276,61,2,0,0
Sam Hilliard,28,0.5,0.5,0.286,0.107,0.107,0.321,0.429,0.25,0.107,0.321,0.071,0.214,0.107,0.179,COL,3,0,0,0,0,1,2,0.0,0.25,0.0,4,0,0,0,48,10,3,1,2,9,21,0.208,0.333,0.438,57,0,0,0
Travis d'Arnaud,140,0.386,0.614,0.257,0.236,0.121,0.429,0.35,0.221,0.214,0.157,0.014,0.214,0.193,0.207,LAA,45,8,2,0,2,2,16,0.178,0.229,0.356,48,1,0,0,168,34,11,0,4,11,58,0.202,0.262,0.339,183,3,0,1
Giancarlo Stanton,154,0.351,0.649,0.312,0.227,0.11,0.435,0.286,0.279,0.221,0.091,0.039,0.214,0.195,0.24,NYY,65,18,3,0,5,13,24,0.277,0.397,0.554,78,0,0,0,184,50,5,0,19,16,72,0.272,0.332,0.609,203,1,0,1
Adael Amador,89,0.404,0.596,0.281,0.236,0.079,0.416,0.326,0.258,0.202,0.146,0.056,0.213,0.18,0.202,COL,23,1,0,0,0,2,6,0.043,0.12,0.043,25,0,0,0,90,19,7,0,1,9,21,0.211,0.29,0.322,103,1,3,0
Dylan Carlson,164,0.378,0.622,0.323,0.238,0.061,0.402,0.366,0.232,0.189,0.152,0.037,0.213,0.213,0.195,BAL,68,14,2,0,1,4,19,0.206,0.25,0.279,72,0,0,0,149,30,7,1,5,17,35,0.201,0.29,0.362,169,2,0,1
Chas McCormick,75,0.4,0.6,0.227,0.227,0.147,0.427,0.347,0.227,0.213,0.16,0.027,0.213,0.187,0.2,HOU,42,9,4,0,1,4,11,0.214,0.298,0.381,49,1,2,0,58,12,1,0,0,5,20,0.207,0.266,0.224,67,0,3,1
Masyn Winn,393,0.392,0.608,0.244,0.254,0.109,0.389,0.351,0.26,0.178,0.148,0.066,0.211,0.204,0.193,STL,149,38,8,0,2,11,31,0.255,0.313,0.349,163,2,0,1,342,86,19,0,7,23,71,0.251,0.309,0.368,374,6,2,1
Addison Barger,341,0.425,0.575,0.229,0.249,0.097,0.437,0.337,0.226,0.226,0.15,0.05,0.211,0.188,0.176,TOR,83,18,5,1,1,6,27,0.217,0.27,0.337,89,0,0,0,377,94,27,0,20,30,94,0.249,0.308,0.48,413,3,0,2
Jeremy Pena,403,0.479,0.521,0.238,0.233,0.05,0.427,0.377,0.196,0.216,0.213,0.05,0.211,0.164,0.146,HOU,97,27,2,0,4,10,14,0.278,0.346,0.423,107,0,0,0,396,123,28,2,13,25,79,0.311,0.368,0.49,436,12,1,2
Ian Happ,423,0.366,0.634,0.291,0.26,0.083,0.409,0.338,0.253,0.199,0.135,0.033,0.21,0.203,0.22,CHC,160,37,7,0,5,21,42,0.231,0.319,0.369,182,0,0,1,409,101,25,0,18,66,109,0.247,0.351,0.44,481,2,0,4
TJ Friedl,473,0.423,0.577,0.216,0.258,0.104,0.452,0.362,0.186,0.243,0.142,0.038,0.209,0.22,0.148,CIN,173,42,3,1,4,18,35,0.243,0.33,0.341,198,5,1,1,406,109,19,1,10,63,80,0.268,0.378,0.394,487,11,3,4
Jorbit Vivas,43,0.395,0.605,0.209,0.279,0.116,0.465,0.395,0.14,0.256,0.116,0.023,0.209,0.279,0.116,NYY,5,1,1,0,0,1,0,0.2,0.333,0.4,6,0,0,0,51,8,1,0,1,4,13,0.157,0.259,0.235,60,3,0,0
Brooks Baldwin,220,0.414,0.586,0.286,0.227,0.073,0.445,0.345,0.209,0.236,0.155,0.023,0.209,0.191,0.186,CWS,59,12,3,0,1,4,12,0.203,0.254,0.305,64,0,1,0,241,60,12,1,10,17,74,0.249,0.299,0.432,264,1,3,2
Martin Maldonado,96,0.427,0.573,0.24,0.198,0.135,0.479,0.313,0.208,0.271,0.115,0.042,0.208,0.198,0.167,SD,46,13,3,0,1,5,15,0.283,0.353,0.413,52,0,1,0,101,17,3,0,3,3,42,0.168,0.192,0.287,109,0,5,0
Carter Jensen,48,0.458,0.542,0.167,0.333,0.042,0.417,0.354,0.229,0.208,0.208,0.042,0.208,0.146,0.188,KC,12,2,0,0,0,2,0,0.167,0.286,0.167,14,0,0,0,48,16,6,0,3,7,12,0.333,0.418,0.646,55,0,0,0
Chris Taylor,72,0.347,0.653,0.264,0.292,0.097,0.444,0.292,0.264,0.236,0.083,0.028,0.208,0.208,0.236,LAA,34,4,1,0,0,2,12,0.118,0.167,0.147,24,0,0,0,79,17,6,0,2,3,30,0.215,0.292,0.367,23,0,0,0
Nick Sogard,72,0.431,0.569,0.292,0.25,0.028,0.444,0.347,0.208,0.236,0.181,0.014,0.208,0.167,0.194,BOS,35,13,4,0,0,0,9,0.371,0.371,0.486,35,0,0,0,61,12,4,0,0,5,15,0.197,0.29,0.262,69,3,0,0
Kyle Teel,178,0.371,0.629,0.298,0.292,0.039,0.404,0.354,0.242,0.197,0.129,0.045,0.208,0.225,0.197,CWS,43,8,2,0,0,7,20,0.186,0.314,0.233,52,1,1,0,210,61,9,0,8,30,57,0.29,0.388,0.448,245,4,0,1
Brayan Rocchio,276,0.453,0.547,0.246,0.268,0.033,0.449,0.341,0.21,0.243,0.159,0.051,0.207,0.181,0.159,CLE,98,22,4,1,2,8,33,0.224,0.31,0.347,116,5,3,2,246,58,14,1,3,14,44,0.236,0.282,0.337,267,3,1,3
Jason Heyward,68,0.456,0.544,0.309,0.118,0.118,0.456,0.353,0.191,0.25,0.132,0.074,0.206,0.221,0.118,SD,11,4,0,0,0,1,2,0.364,0.417,0.364,12,0,0,0,74,11,2,0,2,5,18,0.149,0.195,0.257,83,0,0,3
Weston Wilson,78,0.423,0.577,0.269,0.256,0.051,0.5,0.321,0.179,0.295,0.115,0.013,0.205,0.205,0.167,PHI,72,14,3,0,3,9,24,0.194,0.293,0.361,82,1,0,0,39,8,1,0,2,3,10,0.205,0.262,0.385,43,0,1,0
Andrew McCutchen,362,0.423,0.577,0.271,0.227,0.08,0.467,0.331,0.202,0.262,0.127,0.033,0.204,0.204,0.169,PIT,131,35,7,0,3,18,36,0.267,0.353,0.389,150,0,0,1,346,79,15,0,10,49,82,0.228,0.326,0.358,401,2,0,2
Caleb Durbin,402,0.438,0.562,0.229,0.224,0.109,0.413,0.383,0.204,0.209,0.172,0.057,0.204,0.211,0.147,MIL,120,31,4,0,4,7,7,0.258,0.326,0.392,133,5,1,0,325,83,21,0,7,23,43,0.255,0.337,0.385,373,19,2,4
Nick Yorke,54,0.537,0.463,0.204,0.185,0.074,0.389,0.333,0.278,0.185,0.222,0.13,0.204,0.111,0.148,PIT,24,8,2,0,0,1,4,0.333,0.36,0.417,25,0,0,0,45,8,1,0,1,2,11,0.178,0.213,0.267,47,0,0,0
Brett Harris,54,0.519,0.481,0.278,0.167,0.037,0.556,0.222,0.222,0.352,0.13,0.037,0.204,0.093,0.185,ATH,27,6,1,0,0,3,9,0.222,0.3,0.259,31,0,1,0,46,14,4,0,0,4,12,0.304,0.377,0.391,53,2,0,1
Max Kepler,329,0.362,0.638,0.328,0.237,0.073,0.429,0.356,0.216,0.225,0.097,0.04,0.204,0.258,0.176,PHI,69,15,3,0,2,6,17,0.217,0.276,0.348,76,0,0,1,348,75,16,0,16,42,76,0.216,0.305,0.399,398,4,1,3
Isaac Collins,285,0.439,0.561,0.235,0.256,0.07,0.411,0.351,0.239,0.207,0.158,0.074,0.204,0.193,0.165,MIL,125,29,8,1,4,14,30,0.232,0.324,0.408,145,4,0,2,247,69,14,2,5,43,63,0.279,0.389,0.413,296,2,3,1
Lourdes Gurriel Jr.,433,0.374,0.626,0.273,0.263,0.09,0.402,0.36,0.238,0.199,0.125,0.051,0.203,0.236,0.187,AZ,142,42,4,0,5,13,12,0.296,0.353,0.43,156,0,0,1,358,82,20,2,14,18,64,0.229,0.272,0.413,390,6,0,8
Yordan Alvarez,138,0.341,0.659,0.319,0.268,0.072,0.399,0.333,0.268,0.196,0.123,0.022,0.203,0.21,0.246,HOU,32,11,4,0,2,6,4,0.344,0.447,0.656,38,0,0,0,133,34,4,0,4,22,29,0.256,0.348,0.376,161,0,0,6
Shohei Ohtani,426,0.397,0.603,0.357,0.211,0.035,0.432,0.378,0.19,0.23,0.143,0.023,0.202,0.235,0.167,LAD,222,62,8,4,15,22,67,0.279,0.344,0.554,244,0,0,0,389,110,17,5,40,87,120,0.283,0.416,0.661,483,3,0,2
Warming Bernabel,114,0.421,0.579,0.237,0.246,0.096,0.421,0.368,0.211,0.219,0.132,0.07,0.202,0.237,0.14,COL,29,8,0,0,1,0,2,0.276,0.276,0.379,29,0,0,0,110,27,8,1,3,7,23,0.245,0.291,0.418,117,0,0,0
Christian Walker,412,0.374,0.626,0.294,0.243,0.09,0.422,0.352,0.226,0.221,0.121,0.032,0.201,0.231,0.194,HOU,121,30,6,0,4,8,35,0.248,0.301,0.397,133,2,0,2,464,109,18,1,23,32,142,0.235,0.296,0.427,507,9,0,2
Andy Pages,452,0.354,0.646,0.325,0.272,0.049,0.407,0.341,0.252,0.206,0.106,0.042,0.201,0.235,0.21,LAD,147,46,8,0,3,6,35,0.313,0.344,0.429,154,1,0,0,434,112,19,1,24,23,100,0.258,0.302,0.472,470,7,0,6
Daylen Lile,269,0.364,0.636,0.245,0.323,0.067,0.394,0.349,0.257,0.193,0.138,0.033,0.201,0.212,0.223,WSH,71,18,1,1,2,3,17,0.254,0.303,0.38,77,2,1,0,250,78,14,10,7,18,39,0.312,0.359,0.532,274,2,0,3
Mike Trout,284,0.342,0.658,0.303,0.282,0.074,0.377,0.342,0.282,0.176,0.113,0.053,0.201,0.229,0.229,LAA,90,20,4,0,3,13,39,0.222,0.314,0.367,105,0,0,2,366,86,10,1,23,74,139,0.235,0.369,0.456,451,6,0,4
Luis Urias,245,0.441,0.559,0.237,0.208,0.114,0.4,0.384,0.216,0.2,0.171,0.069,0.2,0.212,0.147,ATH,60,11,0,0,1,6,7,0.183,0.269,0.233,68,1,0,0,227,55,7,0,7,25,38,0.242,0.327,0.366,262,5,0,3
Yanquiel Fernandez,95,0.495,0.505,0.253,0.211,0.042,0.463,0.305,0.232,0.263,0.179,0.053,0.2,0.126,0.179,COL,9,3,1,0,0,0,2,0.333,0.333,0.444,9,0,0,0,129,28,4,0,4,8,42,0.217,0.261,0.341,138,0,0,1
Braxton Fulford,75,0.347,0.653,0.36,0.227,0.067,0.347,0.427,0.227,0.147,0.173,0.027,0.2,0.253,0.2,COL,39,11,3,2,0,3,10,0.282,0.326,0.462,43,0,0,1,69,12,2,0,1,4,26,0.174,0.234,0.246,77,2,0,2
Lenyn Sosa,395,0.322,0.678,0.296,0.291,0.091,0.362,0.38,0.258,0.162,0.129,0.03,0.2,0.251,0.228,CWS,134,37,7,0,5,4,29,0.276,0.3,0.44,140,1,0,1,384,100,13,1,17,14,98,0.26,0.29,0.432,404,3,1,2
Tyler Heineman,125,0.424,0.576,0.256,0.184,0.136,0.344,0.4,0.256,0.144,0.168,0.112,0.2,0.232,0.144,TOR,43,17,4,0,1,3,6,0.395,0.449,0.558,50,2,1,1,106,26,4,1,2,9,25,0.245,0.325,0.358,124,4,4,1
Geraldo Perdomo,533,0.398,0.602,0.265,0.255,0.083,0.403,0.332,0.265,0.205,0.154,0.039,0.199,0.178,0.225,AZ,185,63,7,1,6,26,15,0.341,0.416,0.486,219,0,5,3,412,110,26,4,14,68,68,0.267,0.378,0.451,501,10,3,8
Matt Chapman,332,0.404,0.596,0.247,0.223,0.127,0.434,0.337,0.229,0.235,0.133,0.036,0.199,0.205,0.193,SF,107,24,4,0,3,18,23,0.224,0.333,0.346,126,0,0,1,347,81,19,2,18,53,103,0.233,0.342,0.455,409,6,0,3
Luis Matos,146,0.466,0.534,0.253,0.171,0.11,0.404,0.432,0.164,0.205,0.192,0.068,0.199,0.24,0.096,SF,82,15,4,0,5,4,13,0.183,0.221,0.415,86,0,0,0,90,23,5,1,3,7,14,0.256,0.306,0.433,98,0,0,1
Parker Meadows,136,0.441,0.559,0.169,0.301,0.088,0.397,0.368,0.235,0.199,0.191,0.051,0.199,0.176,0.184,DET,41,8,1,0,0,5,11,0.195,0.283,0.22,46,0,0,0,150,33,5,2,4,16,45,0.22,0.293,0.36,167,0,0,1
Willson Contreras,353,0.419,0.581,0.28,0.258,0.042,0.377,0.38,0.244,0.178,0.187,0.054,0.198,0.193,0.19,STL,123,34,11,0,5,16,36,0.276,0.375,0.488,145,4,1,1,367,92,20,1,15,28,106,0.251,0.333,0.433,418,19,0,3
Troy Johnston,86,0.372,0.628,0.233,0.337,0.058,0.442,0.407,0.151,0.244,0.093,0.035,0.198,0.314,0.116,MIA,8,1,0,0,0,0,3,0.125,0.125,0.125,8,0,0,0,104,30,2,1,4,8,23,0.288,0.345,0.442,113,1,0,0
Adam Frazier,344,0.395,0.605,0.265,0.288,0.052,0.36,0.352,0.288,0.163,0.151,0.081,0.198,0.201,0.206,KC,60,12,5,0,1,4,21,0.2,0.273,0.333,29,1,1,0,359,100,15,0,6,22,60,0.279,0.327,0.37,233,5,0,3
James Outman,71,0.366,0.634,0.338,0.197,0.099,0.465,0.352,0.183,0.268,0.085,0.014,0.197,0.268,0.169,MIN,39,4,1,0,1,3,18,0.103,0.167,0.205,8,0,0,0,95,14,4,1,5,9,45,0.147,0.236,0.368,36,1,0,0
Marcell Ozuna,350,0.403,0.597,0.326,0.223,0.049,0.429,0.343,0.229,0.231,0.126,0.046,0.197,0.217,0.183,ATL,109,24,5,0,3,30,33,0.22,0.383,0.349,141,0,0,2,378,89,14,0,18,64,111,0.235,0.347,0.415,451,3,0,5
Luis Robert Jr.,274,0.383,0.617,0.285,0.234,0.099,0.442,0.307,0.252,0.245,0.106,0.033,0.197,0.201,0.219,CWS,93,24,2,0,6,16,22,0.258,0.369,0.473,113,1,0,1,289,61,10,0,8,24,90,0.211,0.272,0.329,318,1,1,2
Graham Pauley,127,0.386,0.614,0.26,0.236,0.118,0.394,0.402,0.205,0.197,0.157,0.031,0.197,0.244,0.173,MIA,18,4,2,0,0,5,2,0.222,0.391,0.333,24,0,1,0,143,32,7,1,4,16,34,0.224,0.3,0.371,160,0,0,1
Masataka Yoshida,168,0.56,0.44,0.167,0.22,0.054,0.47,0.321,0.208,0.274,0.214,0.071,0.196,0.107,0.137,BOS,31,7,1,0,0,1,4,0.226,0.25,0.258,32,0,0,0,157,43,10,0,4,9,20,0.274,0.318,0.414,173,3,0,4
Dillon Dingler,326,0.362,0.638,0.264,0.304,0.071,0.387,0.362,0.252,0.19,0.132,0.04,0.196,0.23,0.212,DET,112,37,11,1,5,9,27,0.33,0.38,0.58,121,0,0,0,323,84,10,1,8,14,83,0.26,0.308,0.372,348,9,0,1
Mike Tauchman,250,0.368,0.632,0.296,0.272,0.064,0.384,0.384,0.232,0.188,0.132,0.048,0.196,0.252,0.184,CWS,59,13,3,0,3,10,18,0.22,0.352,0.424,71,2,0,0,276,75,14,1,6,35,68,0.272,0.357,0.395,314,2,0,1
Josh Naylor,465,0.458,0.542,0.26,0.23,0.052,0.422,0.396,0.183,0.226,0.181,0.052,0.196,0.215,0.131,SEA,181,52,7,1,6,9,34,0.287,0.323,0.436,128,1,0,1,362,108,22,0,14,39,49,0.298,0.368,0.475,146,2,0,1
Ben Rortvedt,92,0.5,0.5,0.207,0.13,0.163,0.413,0.326,0.261,0.217,0.196,0.087,0.196,0.13,0.174,LAD,20,5,0,0,0,2,4,0.25,0.318,0.25,17,0,2,0,92,12,3,0,1,9,19,0.13,0.223,0.196,63,0,0,0
C.J. Kayfus,87,0.391,0.609,0.322,0.276,0.011,0.379,0.31,0.31,0.184,0.161,0.046,0.195,0.149,0.264,CLE,21,4,1,0,1,0,7,0.19,0.227,0.381,22,1,0,0,102,23,9,1,3,11,31,0.225,0.304,0.422,116,1,1,1
Willi Castro,292,0.411,0.589,0.267,0.264,0.058,0.377,0.363,0.26,0.182,0.14,0.089,0.195,0.223,0.171,CHC,104,26,6,1,4,6,22,0.25,0.31,0.442,15,0,0,0,298,65,11,2,7,34,89,0.218,0.315,0.339,95,2,0,0
Pavin Smith,154,0.422,0.578,0.247,0.279,0.052,0.409,0.331,0.26,0.214,0.162,0.045,0.195,0.169,0.214,AZ,18,3,0,0,0,6,9,0.167,0.375,0.167,24,0,0,0,226,60,17,1,8,35,83,0.265,0.361,0.456,264,0,0,2
Miguel Rojas,247,0.457,0.543,0.231,0.239,0.073,0.421,0.352,0.227,0.227,0.154,0.077,0.194,0.198,0.15,LAD,122,36,9,0,6,13,17,0.295,0.363,0.516,135,0,0,0,168,40,9,0,1,11,29,0.238,0.285,0.31,182,0,3,0
Kyren Paris,67,0.373,0.627,0.403,0.179,0.045,0.448,0.239,0.313,0.254,0.03,0.09,0.194,0.209,0.224,LAA,19,5,1,0,2,1,8,0.263,0.364,0.632,22,2,0,0,107,19,3,1,4,9,51,0.178,0.248,0.336,118,1,0,0
Zach McKinstry,347,0.409,0.591,0.245,0.291,0.055,0.432,0.314,0.254,0.239,0.118,0.052,0.193,0.196,0.202,DET,108,32,6,7,1,7,26,0.296,0.345,0.509,119,2,0,2,344,85,17,4,11,39,85,0.247,0.33,0.416,392,5,1,3
Javier Sanoja,280,0.475,0.525,0.189,0.261,0.075,0.35,0.407,0.243,0.157,0.229,0.089,0.193,0.179,0.154,MIA,120,28,8,1,3,7,19,0.233,0.285,0.392,133,2,3,1,193,48,14,3,3,12,22,0.249,0.288,0.399,209,0,1,3
Lane Thomas,83,0.361,0.639,0.253,0.181,0.205,0.361,0.398,0.241,0.169,0.169,0.024,0.193,0.229,0.217,CLE,40,6,0,0,2,6,12,0.15,0.255,0.3,47,0,0,1,85,14,2,0,2,8,32,0.165,0.242,0.259,95,1,0,1
